filter,impl,rows,cols,kernel,threads,block_x,block_y,time_ms,mse
gaussian,cuda,1080,1920,3,4,16,16,243.994,9.20892e-11
box,cuda,1080,1920,11,4,32,8,245.183,1.09354e-10
